EventDescription,FailedAssets,CauseTechnical,Category
"IMS 220314. A gum tree fell over HV conductors, wires down, ACR operated - tripped out. CEOT advised crew to isolate - open WL158 (NKG gas switch). After the switch was opened by the crew, CEOT closed WL174, faulted area became energized (feeder tripped). A grass fire was subsequently observed where the wires were down. The fire was observed to be 4 to 6 meters from the pole and was 2m x 2m in size.  Crew found that switch WL158 was still closed.",Conductor (bare),,Trees
"Customer called to report they received a slight electric shock from the shower taps.

The occupier was showering and received an electric shock whilst making contact with the shower taps as he stood on the wet shower base.",Service conductor;Aluminium twisted (grey);Connector/termination,Corrosion;Electrical breakdown,Connection
"Linda received an electric shock when she simultaneously contacted the metallic tap with one hand and the metallic sink with the other hand.

A voltage test between the tap and metal sink identified 57 volts.

Further testing of the installation identified a corroded service neutral at the pole end.

The condition described above caused current to flow in the metallic water pipe system via the installation MEN connection, main earth and water pipe bonding conductors. The level of impedance to the flow of current through the metallic water pipe with respect to the general mass of earth was sufficient to cause a voltage rise of 57 volts on the metallic parts of the plumbing system.",Service conductor,Corrosion,Connection
"Alex Cordner was showering when he received an electric shock as he made simultaneous contact between his hands on the metallic shower taps and his bare feet while standing on the wet shower base.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a corroded O/H Service Neutral conductor termination at the Customer’s FOLCB located at the POA, resulting in a higher than normal impedance within the neutral service conductor.

This condition caused current to flow through the installation MEN connection, main earthing conductor, water pipe earth bond conductor and the metallic water pipes. This increased impedance to the flow of the installation return current through the general mass of earth and the metallic water pipe system was sufficient to cause a voltage rise of 1.7 Volts on the water piping system and between the points of contact.",Service conductor;Connector/termination,Corrosion,Connection
"At 1107hrs on 04/02/2016, 22kV feeder NP 36 circuit breaker reclosed to lock out.  Live Line Sequence had been enabled to install cut out tools using glove and barrier techniques to connect a voltage transformer at the new remote controlled gas switch.

28/01/2016 - A Downer Glove and Barrier work crew had the task to replace the HV crossarm, remove 22kV manual gas switch No. DN8598 and install a new remote controlled gas switch to be known as DN3217 at pole No. LIS 0619096 located in Chandler Road, 1 pole south of Heatherton Road, Noble Park.  This switch is the normal open point between 22kV feeders NP25 and NP36.      

04/02/2016 - The Downer Glove and Barrier crew were to install the control leads for the remote controlled gas switch (RCGS) following the construction work completed last week.  As part of the work the crew were commissioning a Tyree Voltage Transformer (VT) at the RCGS using a cut out tool to energise the VT.  After energising the VT, the crew descended to the LV fuse box to undertake further commissioning work.  On their ascent up to the HV switch, the VT ruptured and caught fire causing the lid to be blown off and hot oil from inside the VT to be released that contacted a lineworker on the ground.  The lineworker received oil burns and was transported to hospital by ambulance for observation and was released without requiring treatment.  The employees in the EWP were not affected. In addition, the heated oil splashed onto 5 surrounding vehicles. Members of the CFA, Vic Police, WorkSafe and ESV were also in attendance. 
United Energy contacted ESV but were advised the event had previously been reported with reference number 4437632 provided.",Transformer,Incorrect design,AF Other
Crossarm fire corner Arcade Way and North Road,Crossarm (wood),Leakage,Crossarm
"Mr Paul Hoffmann, Plumbing Contractor was removing a Hot Water Service when he received an electric shock when he made simultaneous contact with his hand on the metallic frame of the Hot Water Service and his leg while kneeling on the wet concrete floor of the back veranda.  

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a corroded Aluminium Neutral Screen Conductor of the O/H Neutral Screened Service Cable, located at the Wrap-on Termination Device at the Customer’s POA, which was identified as the cause of the high impedance within the neutral service conductor.

This condition caused current to flow through the installation MEN connection, main earthing conductor, water pipe earth bond conductor and the metallic water pipes. This increased impedance to the flow of the installation return current through the general mass of earth and the metallic water pipe system was sufficient to cause a voltage rise of 56.0 Volts on the earthing system and between the points of contact.",Service conductor,Corrosion,OH Cable
"Mr Brian Murphy was opening the metal Meter/Switchboard Enclosure to check why the lights were dimming when he received an electric shock as he made simultaneous contact between his hands on the metal Meter/Switchboard Enclosure and his bare feet while standing on the damp concrete veranda.
Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a corroded O/H Service Neutral Conductor termination at the Customer’s Fused Overhead Line Connection Box (FOLCB) which was identified as the cause of the high impedance within the neutral service conductor.
This condition caused current to flow through the installation MEN connection, main earthing conductor, water pipe earth bond conductor and the metallic water pipes. This increased impedance to the flow of the installation return current through the general mass of earth and the metallic water pipe system was sufficient to cause a voltage rise of 46.2 Volts on the earthing system and between the points of contact.",Customer installation,Corrosion,OH Cable
Plumber received electric shock when disconnecting water pipe,Service conductor,Neutral fault,Conductor
"A line inspector reported a fire on a pole at the incident location.  On arrival the crew found that a tie had broken on a SWER pole and the SWER conductor had become dislodged and rested against the pole resulting in a burn mark at the top of the pole, which remained intact.  There was no ground fire.  There were no reported injuries or third party property damages.",Pole (wood),Mechanical breakdown;Unknown technical factor,Connection
"A boring contractor reported making contact with an underground cable while boring at the incident location.  On arrival the crew found that contractor (Comdain Infrastructure, Contact: Ian Wilkie, Ph: 0419 873 513) was operating a borer and contacted a 22kV underground cable while installing a gas service to 56 McSwain Rd, causing damage to the cable. The contractors had dial before you dig plans. Protection operated. There were no reported injuries.",Cable,,Dug up
"IMS 220481. Initial report:Report of a hot Air balloon contacting electrical main and the balloon is hanging over the mains, People still in the balloon basket. No report of injury or any other damage.

Final report:
DAO attended site 0915hrs. Balloon operator ""RICHARD"" (0412066 666) from ""PICTURE THIS BALLOON CO"" (03 9429 0277).

Richard described coming in to land and seeing the HV line between poles 1008468 and 1008471, however he did not see the line between poles 1032877 and 1033055. According to Richard, the balloon was on the ground skidding along when they stopped more abruptly than usual. When Richard got out of the balloon he saw the balloon hanging over the HV Line.

The DAO measured the height of the HV line after the balloon had been removed and this was 28.8m. Speaking with Richard, the balloon and basket setup is 35m tall. 

The HV was still in the air and there was no visible damage from the DAO's point of view and inspection.

Richard advised no person was injured or received any electric shock. None of the passengers were present by the time the DAO arrived at site.

Richard requested several times that the DAO ask the fault crew to ""hurry up"" so he could get the balloon down. The DAO advised RIchard that the crew will do what they can as promptly as possible but that safety is the main concern and that we will wait until they give the go ahead before moving any closer to the balloon and that we need to stay at least 10m away for safety purposes.

The wind started picking up and RIchard became more and more agitated as time went on. As the Downer fault crew were driving up the road, Richard ran off to meet them and put himself in a dangerous position as he was grabbing the balloon and ropes, but at this point there was no advice from the Downer fault crew that the line was dead at this point in time. Despite the DAO's concern and words to Richard previously he had no regard for his own safety at this time and the DAO believes it was lucky that the Dower fault crew had isolated and earthed the line, thus making the line ""dead"" as RIchard assumed this, as the crew were not working on the line anymore.

The Downer fault crew did advise that the line was dead and the balloon was removed from the HV Line. 
Richard proceeded to tie down and fold up the balloon and once this was secured, the Downer fault crew began re-instating supply. 

A support crew for Richard arrived at approximately 10:30am and the DAO left the site at 11am.

Per advice from the Downer fault crew on-site, the 2x outer HV fuses had blown on the spur (confirmed Red and Blue Phases on-site - Switch - LD010) but that the Centre Phase (White) had remained in until they isolated upon their arrival.

Advice from ""Will"" from the winery also that Hot Air Balloons do not have permission to land in this property, but they do for next door. Richard said he thought he was in the other property and was not aware he was in the wrong property here.",Conductor (bare),,Other
A field crew attending an outage found that a cross arm fire had occurred on a 22kV/LV substation pole which burnt the cross arm only.  Protection operated.  There was no ground fire.  There were no reported injuries or third party property damages.,Crossarm (wood),Leakage,Crossarm
High voltage cables on ground caused by customer tree branch,Conductor (bare),,Trees
Jemena contacted Powercor Report Room advising of a car into pole at the above location and possible fatality.  Pole was on boundary of Jemena and Powercor assets. On arrival the crew found that a single vehicle had collided with a wooden cable head pole  resulting in a fatal injury to the driver of the vehicle. There was no ground fire.,Pole (wood),,Vehicle
"A field worker reported a fire at the incident location.  On arrival the crew found a crow had caused a flash over on a 66kV cable head pole, causing the crow to fall to the ground resulting in a ground fire (approx. 0.3m x 0.2m) on the road reserve. Protection operated. There were no reported injuries.",Pole top,,Animal
"A customer reported no supply and the service wire broken at the incident location. On arrival, the crew found that a neutral screen service had broken at the POA, causing it to fall to the ground, resulting in a fire (Approx. 0.3m x 0.1m) on private property. There were no reported injuries.",Service conductor,Age,Conductor
"A nearby resident reported that a truck had made contact with an overhead line at the incident location. On arrival the crew found that a truck (Registration No XSL-449 – No other details obtained) had contacted a LV overhead service cable in the driveway of the property, damaging the insulation and causing it the cable to come to rest approx. 2.7m from the ground. There were no reported injuries or third party property damages. Following repairs the cable was measured at 3.1m at the point of contact.",Service conductor,,Vehicle
The local Council reported a wire down at the incident location.  On arrival the crew found that a council road works truck (Hamilton City Council) had made contact with a LV service cable while resurfacing the road. The service broke mid span and fell to the ground. Following repairs the service height was measured at 5.5mtrs at the centre of the road. There were no reported injuries.,Service conductor,,Vehicle
"A builder reported that an overhead cable had been hit by a concrete pumping truck and the live cable was hanging approx. 2m above the ground at the incident location. On arrival the crew found that a concrete pumping truck (Operated by Maximum Concrete Pumping Pty Ltd, 15 Freeman Crt, St Albans, Ph: 0418 992 852) had contacted a LV service cable causing the service to hang low (approx. 2m ex ground). There were no reported injuries or third party property damages.",Service conductor,,Vehicle
"A Powercor fault crew had completed opening a gas switch at the incident location as part of restoration of the 22kV Line. The Powercor Operations Controller then closed the line, at which time one of the supply transformers at the incident location faulted, causing debris and oil to fall to the  a ground. A small grassfire occurred as a result (approx. 2m x 2m) on the road reserve. Protection operated. There were no reported injuries.",Transformer,Unknown technical factor,AF Other
IMS 220617. 11:30 Boisdale ACR opened auto (INCD-91730-r) on SEF prot. ACR successfully closed at 12:02.  At 12:14 received report of ASF ex HV Fuses 808218. Fault truck dispatched. Fault crew found an excavator under a stranded HV conductor.,Conductor (bare),,Vehicle
"Caller reports that a demolition crew is knocking down the building and there was a loud bang at the switchboard and it was sparking and smoking and the power has gone out. The building is located in Nepean Highway between Patterson Road and Wolsley Street, Bentleigh.

A City Circle Demolition and Excavation team were knocking down a section of building that contained live wiring.  During this demolition work, live wiring was damaged that caused the protection to operate at the main switchboard.  It was unknown if the service fuse cartridges had operated.  
No shocks or injuries were sustained.
City Circle Demolition - 9489 7600",Service conductor,Fault on customer installation,Other
"A field crew attending an outage found that 22kV Cable Head Pole had faulted, resulting in fire damage to the pole and to the cabling on the pole. Protection operated. There was no ground fire. There were no reported injuries or third party property damages.",Pole (concrete),Unknown technical factor,Connection
A field crew attending an outage found that a pole fire had occurred on a 22kV pole which burnt the top of the pole.  Protection operated.  There was no ground fire.  There were no reported injuries or third party property damages.,Pole top,Leakage,Pole
"A customer reported a conductor down at the above location. On arrival the crew found that a HV conductor had broken (possibly due to bird/animal interference), falling to the ground and resulting in a ground fire (Approx. 1m x 1m) on the road reserve. There were no reported injuries.",Conductor (bare),,Animal
"At 1654hrs on 24/02/2016, 11kV feeder CM 25 circuit breaker reclosed to lockout affecting 1415 customers.

A large vehicle has struck a HV intermediate pole with a LV strain located outside 369 Bay Road, Cheltenham (LIS No. 1823037). It appeared the HV conductor had briefly contacted the LV below and the faults crew requested a LEI attend as a HVI was suspected to customers supplied from the south circuit of ""Graham-Bay"" substation.  The LEI confirmed a high voltage injection occurred (CLA 1601) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.",Pole (wood),HV injection,Vehicle
"VicFire reported a fire at the incident location.  On arrival the crew found that a pole fire had occurred on a 12.7kV SWER pole, which burnt the pole causing the conductors to fall to the ground in a ploughed paddock. There was no ground fire. Protection operated. There were no reported injuries.",Pole (wood),Unknown technical factor,Pole
IMS 220762. Per CFA report of a pole box on fire at cnr Camp St. A 150 Amp 3 Phase fuse box at pole LIS 4503089 caught fire due to a loose connection.,Connection box,,Connection
An asset inspector reported a low wire at the incident location.  On arrival the crew found that a cross arm fire had occurred on a 22kV pole which caused the crossarm to break and the conductor to fall coming to rest approx. 1m from the ground.  There was no ground fire.  There were no reported injuries or third party property damages.,Crossarm (wood),Leakage,Crossarm
An employee reported a forced entry at the incident site. On arrival it was found that entry had been gained to the Zone Substation by unknown third parties by cutting a chain that secured a set of double gates. No items appeared to be missing. No items were reported stolen subsequent to this non-authorised entry. No additional damage or injury was reported.,Zone substation,,Other
"Builder reported that a bobcat had contacted a service and it is now hanging low at the incident location. On arrival the crew found that a bobcat (Operated by Mark Durbin, Ph: 0417 011 065) had contacted a low voltage service cable with its raised bucket resulting in the service being dislodged at the pole end and pulled out of the FOLCB at the house end. There was no ground fire. There were no reported injuries.",Service conductor,,Vehicle
"A contractor reported that an excavator on their work site had hit an underground service cable at the incident location.  On arrival the crew found that a contractor (Fulton Hogan, 26 Kennedys Dr, Delacombe, Contact: David, Ph.: 0429 014 813) was operating an excavator and contacted a LV underground service cable causing damage to the cable and conduit. There were no reported injuries or third party property damages.",Services cable,,Dug up
"A customer reported that their service wire had been hit by truck, the hook pulled out and point of attachment hanging at the incident location. On arrival the crew found that an unknown vehicle had contacted a LV service cable causing damage to the customers POA.  The crew were advised by a worker onsite that the incident took place approximately two weeks ago. No power outage was reported. There was no ground fire. There were no reported injuries. Following repairs the cable was measured at 5.1m at the kerb.",Service conductor,,Vehicle
"Mr Michael Sanders (Contract Vegetation Inspector) was recording the Pole LIS number when his hand came in contact with the Name Plate on the wet SWER Pole while standing in wet grass. The prevailing weather conditions were wet and drizzling rain at the time the electric shock was received.  

The LEI completed a Safe to Approach Test with a “Modiewark” and confirmed there was no indication of a voltage at or in the vicinity of the SWER Pole. The weather conditions were fine (not raining) and the pole was dry at the time of the investigation. Additional voltage tests between an independent earth and various points on the Timber SWER Pole including the metal LIS Identification Plate, conductive Out Building materials and Perimeter Fences in the vicinity of the pole also confirmed Zero Volts.

A Polymeric HV Insulator supported the HV Conductor on the Intermediate SWER Pole which was replaced as a precautionary measure following signs of deterioration.",Pole (wood),Electrical breakdown,Other
"A passer-by reported that copper was removed from a pole at the incident location.  On arrival the crew found that about 2m of the HV and 2m of the LV earths had been cut and removed on a 22kV pole, There were no reported injuries.",Earth/earthing,,Other
"VicFire reported a fire at the incident location.  On arrival the crew found a LV underground service pit, filled with crushed rock and within the path of a loading area for a nearby construction site.  The pit connectors within the pit had overheated resulting in a fire, which was contained to the connectors. There were no reported injuries or third party property damages.",Connector/termination,Overheated connection,AF Other
Pole fire,Pole (wood),Leakage,Pole
"Reason attending site - Permit To Work inspection
Incident - Steel framework erected in breach VESI guidelines
Asset type - LV Overhead, 
Clearance to asset - 1000mm from steel frame to bare open wire LV conductors

Builder - Rob Thomas Avalon Builders ph 0418372141 rothomoh@bigpond.com
Owner - unknown
Developer - unknown",Conductor (bare),,Other
"A customer reported black box on pole has melted and started small grass fire.  On arrival the crew found that a LV 400 amp Krone fused switch dis-connector had melted dropping hot substance, resulting in a ground fire (approx. 2 sqm) on the road reserve.  There were no reported injuries or third party property damages.",Disconnector/isolator,Overheated connection,Fuse
"CFA reported a fire at the incident location.  On arrival the crew found that a cross arm fire had occurred on a 22kV pole, with roadside end of cross arm burning off, resulting in a ground fire (approx. 1 sqm) on road reserve.   There were no reported injuries. No HV injection, no third party property damage.",Crossarm (wood),Leakage,Crossarm
A Field crew reported a fire at the incident location.  The crew found that a cross arm fire had occurred on a 22kV pole which partially burnt the cross arm only.  No Protection operated.  There was no ground fire.  There were no reported injuries or third party property damages.,Conductor (bare),Leakage,Crossarm
The occupier received slight electric shocks from the shower taps and contacted a REC to investigate the cause.  The REC also believed that a plumber also received shocks from the water mains.,Service conductor;Neutral screen,Neutral fault,Trees
"At 2324hrs on 01/03/2016, 66kV feeder TBTS-HGS No. 2 and 22kV feeder HGS22 circuit breakers successfully reclosed and held.  The fire authority advised there was a grass fire at the base of a pole in Marine Parade near the corner of Robertson Street which is now out.

According to a local resident, possums were fighting on the concrete HV/LV pole and there was a loud bang that caused the HV feeder protection to auto reclose and hold. It was uncertain what the possum made contact with but there were burn marks on the pole in the vicinity of the neutral conductor that had dislodged from the insulator.  The possum caught on fire and fell into the dry grass below that caused a small grass fire to occur that was extinguished by the CFA.  A Telstra pit near the base of the concrete pole sustained fire damage and the faults crew suspected that a high voltage injection may have occurred to customers supplied from ""Huisman-King"" substation and a LEI was dispatched to investigate.",Pole (concrete),Neutral fault,Animal
"Customer contacted the United Energy faults and emergencies call centre advising they have a part supply failure and the switchboard is blackened and burnt.

During stormy unsettled conditions, it appeared that lightning struck two properties at 16 and 20 Bellavista Road, Glen Iris that caused damage to customers switchboards and electrical appliances.  A LEI attended and checked for any further damage to customers supplied from ""Bellavista-High"" substation but there were only the two properties affected from the high voltage injection (BWD 1602).",No failed asset,HV injection;Fault on customer installation,Lightning
CFA reported a fire at the incident location. On arrival the Powercor crew found that a tree branch fell on to 22kV conductors resulting in a small grass fire (100m2). Protection operated. There were no reported injuries or other damage,Conductor (bare),,Trees
Crew reported a fire at the incident location. On arrival the crew found that a pole fire had occurred on a 66kV pole which burnt the cross arm only. Protection operated. There were no reported injuries or third party property damages.,Conductor (bare),Leakage,Crossarm
"IMS 221029. CFA advised that a tree had fallen on powerlines and there was a small grass 
fire in the area.",Conductor (bare),,Trees
Customer tree branch has rubbed through service line. Fire tab created in iMS.,Services cable,,Trees
Crow on concrete pole caught fire and fell to the ground. A small fire was observed at the site. The incident is being investigated.,Conductor (bare);Pole (concrete),,Animal
"IMS 221076. Tree hit service cable which caused LV conductors to clash.  2 x small fires on nature  
strip near this site were observed.",Conductor (bare);Service conductor,,Trees
"At 1535hrs on 15/03/2016, 22kV feeder MTN 21 circuit breaker reclosed to lockout affecting 2354 customers.

During windy conditions, a large private cypress tree belonging to the Mornington Racecourse, located on the corner of Racecourse and Watt Roads, fell over the HV conductors entering the property causing them to fall to the ground and a grass fire to start that was quickly extinguished.  No HV injection or major damage was sustained.",Conductor (bare);Aluminium,Conductor clashing,Trees
Grass fire caused by a magpie making contacting between earth and white phase conductor,Conductor (bare),,Animal
"A Powercor Crew reported a customer interaction with Powercor assets at the incident location.  On arrival the crew found that a customer, from the property on the corner of Goughs Lane and Graham Ave (11 Goughs Lane), has used temporary props to lift a Low Voltage service wire to the neighbouring property (1 Graham Ave). The props are in place to lift the service over a newly constructed car port. No request was made for a permit or to reconfigure the service. There were no reported injuries or third party property damages.",Conductor (insulated),,Other
Vic Fire reported a pole and grass fire at the incident location.  On arrival the crew found signs of burning on the pole and a grass fire of approximately 2 metres square. There were no injuries or third party property damages.,Conductor (bare),Leakage,Pole
"IMS 221132.  Truck hit HV/LV Pole LIS# 420422 registration # ZLU788. Pole broken at base, wires on the ground, burst water and gas pipes.",Conductor (bare);Pole (wood),,Vehicle
"IMS 220668. CEOT received a call from a customer that they had received tingles from a shower tap and a roller door. No one injured, no other damage.  Scotch College School Camp (26 Stradbroke Avenue) Year 7 students were showering off using the outdoor showers after sailing when they received a tingle off the shower tap. They also received tingles off the Boat House roller door. Margret Evetts of 30 Stradbroke Avenue also received slight tingles off her back tap while washing her feet off after kayaking. The tingles were caused by a faulty neutral connection at the pole end (single D line tap, split-bolt connection).",Connector/termination,Neutral fault,Connection
"3 separate reports consolidated
Ms Abbey Fisher was washing her clothes in the Communal Laundry Sink when she received an electric shock as she made simultaneous contact between her hand on the metal tap and her bare feet while standing on the damp concrete floor.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, installation MEN, main earthing conductor, water pipe earth bond conductor and metallic water pipes, identified a Potential Difference of 17.3 Volts. The rise in voltage on the installation MEN and Main Earthing system is suspected of originating from an external source supplied by the LV Network Assets requiring further investigation.

This condition caused current to flow through the installation MEN connection, main earthing conductor, water pipe earth bond conductor and the metallic water pipes resulting in a voltage rise of 17.3 Volts on the water piping system and between the points of contact.",Service conductor,Corrosion,Connection
"Caller advised that lights are dimming under load and they received a slight electric tingle but are okay.

The occupier contacted the United Energy faults and emergencies after a slight electric shock was received from the kettle and has observed the noticeable dimming of lights.",Aluminium twisted (grey);Connector/termination,Corrosion,Connection
"Pole has snapped per CFA possibly due to a pole fire.

During light drizzly rain, a pole fire occurred at a HV/LV intermediate pole (LIS No. 3302939) located outside 561 Nepean Highway, Chelsea. The pole was damaged and required replacement.",Pole top;Crossarm (wood),Electrical breakdown,Pole
Auto Reclose Target on CMN-MRO 66KV Line required a ground patrol at the incident location. Crew found a Swan had made contact with the 66KV Feeder causing a ground fire of approximately 75x10 metres. There were no reported injuries or third party property damages.,Conductor (bare),,Animal
IMS 221246. LV conductor down - HV fuse operated. Fault crew attended to make safe. AusNet Services' LEI called to investigate a possible HVI.,Conductor (bare),,Conductor
VICFIRE reported that there was a wire sparking and it had come down onto a tree at the incident location.  On arrival the crew found a low voltage service cable that had come down onto a tree. There was no personal injuries or any third property damages.,Conductor (insulated),Corrosion,OH Cable
"Fault crew attending an outage found a pole fire at the incident location. The crew also found that the cross arm and pole of LIS 202556 partly bunt through around the king bolt
There was no ground fire. There were no reported injuries or third party damage.",Crossarm (wood),Leakage,Crossarm
"V/line reported that a boom gates are not working at the incident location.  Upon arrival, the Powercor crew found that the UG service cable had been cut away from the pole up to the pit. The conduit on the pole also damaged. Some of cables including HV earthing had been stolen. There were no reported injuries or fire.
This was the power supply to boom gate control mechanism. Thieves cut the live cable and also HV earthing cable. Power cables, UG pit and other asset vandalised. An axe left at the incident location.",Services cable,,Other
"Electrix reported that the Low Voltage earth cable on the Substation pole at the incident location had been stolen. Upon arrival the crew found that approx. 3m of the LV earth cable had been stolen. There were no reported injuries, ground fire or third party damage.",Earth/earthing,,Other
Customer was standing at the bathroom sink and received a shock to his hands when he came in contact with the taps and running water whilst standing barefooted on the tiled floor.,Service conductor,Corrosion,OH Cable
Customer received an electric shock when she made simultaneous contact between the metallic taps with one hand and the general mass of earth with wet feet whilst watering the garden,Service conductor,Corrosion,OH Cable
"MFB reports truck has brought down wires, lying on road & sparking outside No.1 Wimmera Court Werribee.  On arrival the crew found that a truck has hit the Optus Service Cable running from LIS-206546 to House No. 14 Wimmera Court, Werribee, this has resulted in the Optus Service Cable flicking up into the LV Bare Mains in the span Opp. No. 14, 
Splash marks observed on the red phase & neutral conductors. No Protection operated. There were no reported injuries, no shocks, no HVI and no third party damage.",Conductor (bare),,Vehicle
"An asset inspector reported that an earthing cable on the sub pole at incident location has been cut away. Upon arrival, the Powercor crew found that a part of earthing cable had been stolen from the pole. 
There were no reported injuries or fire.",Earth/earthing,,Other
"A contractor reported that a wooden cable covering and the earthing cable on the sub pole at incident location has been cut away. Upon arrival, the Powercor crew found that the earthing cable had been stolen from the sub pole and some damage done to the its wooden cover. The repairs completed. There were no reported injuries or fire.",Earth/earthing,,Other
An contract employee  reported missing earth cables.  On arrival the crew the low voltage earth cables had been removed. There was no ground fire. There were no reported injuries or third party property damages.,Earth/earthing,,Other
An contract employee  reported missing earth cables.  On arrival the crew found that the low voltage earth cables had been removed. There was no ground fire. There were no reported injuries or third party property damages.,Earth/earthing,,Other
"An asset inspector reported an earthing cable theft on sub pole at the incident location. Upon arrival, the Powercor crew found that earthing cables had been stolen from the pole. There were no reported injuries or fire.",Earth/earthing,,Other
"A Powercor fault crew attending an outage found that a HV ABC cable lying on the ground at the incident location resulting small (5m*5m) grass fire.
The cable fell onto a fence which has been slightly damaged
There were no reported injuries",Conductor (ABC),Electrical breakdown,OH Cable
IMS 221579. A private contractor damaged a HV underground feeder cable whilst performing excavation work. The contractor's details were not provided. The Feeder protection operated. No third party details were provided.,Cable,,Dug up
"A contract employee  reported missing earth cables at  incident location.  On arrival the crew found that the earth cables had been removed. 
There was no ground fire. 
There were no reported injuries or third party property damages.",Earth/earthing,,Other
"A contract employee  reported missing earth cables at incident location.  On arrival the crew found that all the earth cables had been removed. 
There was no ground fire. 
There were no reported injuries or third party property damages.",Outdoor,,Other
"A contract employee  reported missing earth cables at incident location.  On arrival the crew found that all the earth cables had been removed. 
There was no ground fire. 
There were no reported injuries or third party property damages.",Pole mounted,,Other
"An contract employee reported missing earth cables at incident location. 
On arrival the crew found that at both sites the high and low voltage earth cables had been removed. 
There was no ground fire. 
There were no reported injuries or third party property damages.",Earth/earthing,,Other
"An contract employee reported missing earth cables at incident location.
 On arrival the crew found that at both sites the high and low voltage earth cables had been removed. 
There was no ground fire. 
There were no reported injuries or third party property damages.",Earth/earthing,,Other
HV conductor down.,Conductor (bare),Electrical overload,Lightning
"At 1313hrs on 22/04/2016, 66kV feeder ERTS-DSK circuit breaker locked out but no customers were affected.  At the same time, 22kV feeder LD 33 circuit breaker reclosed to lockout.

A 'B'-Double truck backed into pole No. LIS 0625205 located in Brady Road, Dandenong that caused a 22kV conductor to briefly contact the LV conductors below as they clashed.  The faults crew requested that a LEI attend as a HVI was suspected to customers supplied from ""Brady-Cardinia"" substation.  The LEI confirmed a high voltage injection occurred (KEY 1604) affecting approximately 15-20 street lights in Stud Road between Police and Brady Roads that require replacement.  The pole was broken at the base and required replacement.",Conductor (bare);Pole (wood);Public lighting,Conductor clashing;HV injection,Vehicle
"Customer reported tree had brought conductor down at the incident location.  On arrival the crew found that a tree (from outside the clearance space) had been felled across an adjacent SWER conductor, causing the conductor to break and fall to the ground. Protection operated. 
There was no ground fire
There were no reported injuries or third party property damages. 
No shock,  of fire starts.",Conductor (bare),,Trees
"Truck hit a LV pillar and damaged the existing switch in the pillar. Cables have burnt, sparks and smoke came out of pillar caused by burnt cables due to the vehicle impact.",Cable;LV Pillar,,Vehicle
Electric Shock received from metal shovel by third party person while performing excavating works.,Cable,,Dug up
IMS 221643. Found 6K EDO fuse tube burning which blew due to unknown cause. No fire or damage caused.  The existing fuse tubes were glowing.,EDO fuse,Age;Corrosion;Electrical breakdown,Fuse
"IMS 221733. Report of tree fire in vicinity of AusNet Services' assets.  During strong winds and heavy rain a large tree limb broke off a wattle tree causing it to land across the HV conductors.  A grass fire of 50 sq. metres was observed in the vicinity.  ACR  - BG121 operated. The following details were extracted from a report carried out by the AusNet Services' Vegetation group: Hazardous tree - yes; Tree - poor structure; Tree - private owner;  Responsibility - AusNet Services; Branches inside vegetation clearance space - no; Weather - heavy rain. 


The following details were extracted from a report carried out by the Vegetation group:
Hazardous tree - yes. Tree poor structure. Tree private owner. Responsibility - AusNet Services. Branches inside vegetation clearance space - no. Weather - heavy rain.",Conductor (bare),,Trees
"IMS 221732. A private tree has fallen and appears to have made contact with electrical conductors, fire was reported in vicinity. WT127-ACR 1405244 operated. A gum tree leader failed in strong winds and fell across HV conductors.  Mature blue gum with a bifurcation 5 m from ground. Line side bifurcation failed in strong winds and fell across the HV conductors. Limb was approximately 20m long and 500m at its widest point. 2 separate fires, 1 small area of 3 sq.m at the point of impact, and 63 sq. m 40m up hill from point of impact. Tree branches were not inside vegetation clearance space. Extreme windy conditions with heavy rain.",Conductor (bare),,Trees
"Vicfire reported that a conductor was down across road & was arcing / sparking at the incident location.  
On arrival the crew found that a cross arm had broken on P34 of the Breamar spur line resulting in one HV conductor falling to the ground.
A localised back-feed occurred through transformer HV windings leaving the downed conductor energised.
The fuses operated at P20 Breamar Spur Line.
There were no reported injuries, no ground fire, no third party damage.",Conductor (bare);Crossarm (wood),Leakage,Crossarm
"Passer-by reports that a tow truck has contacted a service at the incident location.  
On arrival the crew found that a tow truck had contacted a service resulting in damage to the service.  
There were no reported injuries. There was no fire.",Service conductor,,Vehicle
Customer received electric tingle/shock in the shower some weeks ago.,Pole top;Neutral screen,Corrosion,OH Cable
"mployee reported missing earth cable at incident location. Crew attended and found HV earth cable missing at pole. Crew replaced missing cables. 
No shocks, injuries or third party damage.",Earth/earthing,,Other
"Vicfire reported that there were “wires down at premises, possibly hit by truck” at the incident location.  On arrival the crew found that an LV grey twisted service cable had been struck by an unknown vehicle, resulting in damage to the customers POA and their mains cable.
The Police onsite said they had been told the service was hit by a truck, but nobody actually saw the truck that did the damage, and the Police had no more information.
The service hooks at both ends were straightened, showing that the service was still on the hooks at the time of impact.
There were no reported injuries or ground fires.",Service conductor,,Vehicle
